instance_id,selected_test_files_to_run,fail_to_pass,pass_to_pass,base_commit,repo_name,before_repo_set_cmd
my-dataset.task-1,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-2,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-3,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-4,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-5,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-6,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-7,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-8,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-9,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
my-dataset.task-10,"['task_tests.py']","['test_get_profile_in_interface', 'test_get_profile_implemented', 'test_profile_route_exists', 'test_get_profile_returns_dict', 'test_get_profile_contains_required_fields', 'test_get_profile_returns_none_for_missing_user']",[],,,
